날짜,내용,금액
2024-10-05,편의점 GS25,5215
2024-10-06,다이소,52200
2024-10-07,편의점 GS25,16600
2024-10-08,올리브영,47535
2024-10-09,넷플릭스,15810
2024-10-09,설빙,15500
2024-10-11,버거킹,13800
2024-10-12,편의점 GS25,15200
2024-10-14,올리브영,48600
2024-10-15,설빙,13200
2024-11-09,넷플릭스,15810
2024-11-13,올리브영,44100
2024-11-17,설빙,16300
2024-11-19,설빙,8800
2024-11-22,버거킹,9800
2024-11-25,다이소,53800
2024-11-25,편의점 GS25,14200
2024-11-26,메가커피,14500
2024-11-27,올리브영,35090
2024-11-28,버거킹,15915
2024-12-02,다이소,59000
2024-12-04,버거킹,10600
2024-12-09,넷플릭스,15810
2024-12-12,편의점 GS25,28900
2024-12-15,무신사,46420
2024-12-20,올리브영,37800
2024-12-22,편의점 GS25,15500
2024-12-25,버거킹,18195
2024-12-25,설빙,17200
2024-12-25,설빙,22600
2025-01-01,버거킹,12600
2025-01-03,무신사,34619
2025-01-06,메가커피,16000
2025-01-06,무신사,16600
2025-01-08,설빙,21700
2025-01-09,넷플릭스,16490
2025-01-09,버거킹,9730
2025-01-13,메가커피,20200
2025-01-19,무신사,12800
2025-01-23,편의점 GS25,15800
2025-02-02,버거킹,5835
2025-02-04,버거킹,12300
2025-02-04,버거킹,18300
2025-02-07,편의점 GS25,18300
2025-02-08,무신사,34400
2025-02-09,넷플릭스,16490
2025-02-11,편의점 GS25,13800
2025-02-20,다이소,57880
2025-02-27,올리브영,57100
2025-02-28,메가커피,14400
2025-03-09,넷플릭스,16490
2025-03-10,버거킹,6800
2025-03-17,다이소,62100
2025-03-18,다이소,38600
2025-03-18,설빙,16700
2025-03-19,설빙,9900
2025-03-19,설빙,17200
2025-03-23,메가커피,14000
2025-03-26,무신사,54014
2025-03-27,메가커피,18335
2025-04-03,다이소,19500
2025-04-09,넷플릭스,16490
2025-04-09,메가커피,8800
2025-04-11,메가커피,22835
2025-04-16,다이소,28500
2025-04-16,메가커피,10800
2025-04-17,편의점 GS25,7300
2025-04-21,다이소,16019
2025-04-24,편의점 GS25,21700
2025-04-27,버거킹,11500
2025-05-08,다이소,27239
2025-05-08,편의점 GS25,14300
2025-05-09,넷플릭스,16490
2025-05-14,설빙,13600
2025-05-18,다이소,56200
2025-05-21,버거킹,32400
2025-05-23,편의점 GS25,16500
2025-05-25,설빙,10295
2025-05-25,설빙,13300
2025-05-26,올리브영,44600
2025-06-06,무신사,11900
2025-06-09,넷플릭스,16490
2025-06-10,설빙,12100
2025-06-11,메가커피,16800
2025-06-13,편의점 GS25,9800
2025-06-16,무신사,19019
2025-06-16,설빙,10635
2025-06-24,설빙,16200
2025-06-27,설빙,17400
2025-06-27,올리브영,33100
2025-07-03,올리브영,22419
2025-07-08,설빙,13100
2025-07-09,넷플릭스,16490
2025-07-16,올리브영,19300
2025-07-17,편의점 GS25,17300
2025-07-18,버거킹,9200
2025-07-21,무신사,22300
2025-07-23,버거킹,16735
2025-07-24,버거킹,9100
2025-07-28,설빙,17500
2025-08-04,버거킹,14800
2025-08-05,편의점 GS25,20100
2025-08-09,넷플릭스,16490
2025-08-11,올리브영,19619
2025-08-14,무신사,20100
2025-08-16,편의점 GS25,26100
2025-08-17,편의점 GS25,11630
2025-08-19,올리브영,24300
2025-08-23,메가커피,9800
2025-08-23,버거킹,13600
2025-09-01,편의점 GS25,20400
2025-09-02,메가커피,6600
2025-09-02,메가커피,11200
2025-09-09,넷플릭스,16490
2025-09-13,편의점 GS25,14500
2025-09-19,무신사,74145
2025-09-19,올리브영,49600
2025-09-21,올리브영,20300
2025-09-22,설빙,12400
2025-09-23,버거킹,17835
2025-10-03,다이소,39900
2025-10-05,편의점 GS25,19735
2025-10-09,넷플릭스,16490
2025-10-10,설빙,8800
2025-10-18,버거킹,13600
2025-10-18,올리브영,39500
2025-10-19,메가커피,16500
2025-10-20,올리브영,75314
2025-10-22,설빙,14300
2025-10-28,설빙,10000
2025-11-04,편의점 GS25,9300
2025-11-05,메가커피,15300
2025-11-07,다이소,52500
2025-11-07,설빙,14200
2025-11-08,편의점 GS25,14935
2025-11-09,넷플릭스,16490
2025-11-12,메가커피,17000
2025-11-12,무신사,44500
2025-11-16,다이소,41710
2025-11-22,편의점 GS25,12200
