사람,보험사,상품명,증권번호(뒤4자리),계약일,만기일,월보험료,보장항목,보장금액,갱신형,비고
아빠_김성호,삼성생명,무배당 종신보험,4821,2012-05-10,종신,380000,사망_일반,300000000,비갱신,
아빠_김성호,삼성생명,무배당 종신보험,4821,2012-05-10,종신,,암_일반암,30000000,비갱신,
아빠_김성호,삼성생명,무배당 종신보험,4821,2012-05-10,종신,,수술비,2000000,비갱신,수술 1회당
아빠_김성호,삼성화재,실손의료비,5567,2015-03-02,2045-03-02,58000,실손_급여,50000000,갱신형,2세대 표준형 자기부담 20%
아빠_김성호,삼성화재,실손의료비,5567,2015-03-02,2045-03-02,,실손_비급여,30000000,갱신형,
아빠_김성호,한화손해보험,회사 단체실손,0000,2024-01-01,2027-12-31,,실손_급여,50000000,갱신형,회사 부담 단체보험
아빠_김성호,메리츠화재,암보험,7103,2019-08-01,2059-08-01,92000,암_일반암,50000000,갱신형,가입 90일 면책 1년내 50% 감액
아빠_김성호,메리츠화재,암보험,7103,2019-08-01,2059-08-01,,암_유사암,10000000,갱신형,
아빠_김성호,현대해상,자동차보험,2290,2026-01-15,2027-01-14,110000,자동차_대인배상1,무한,갱신형,1년 갱신
아빠_김성호,현대해상,자동차보험,2290,2026-01-15,2027-01-14,,자동차_대인배상2,무한,갱신형,
아빠_김성호,현대해상,자동차보험,2290,2026-01-15,2027-01-14,,자동차_대물배상,300000000,갱신형,
아빠_김성호,현대해상,자동차보험,2290,2026-01-15,2027-01-14,,자동차_자기신체사고,150000000,갱신형,
아빠_김성호,현대해상,자동차보험,2290,2026-01-15,2027-01-14,,자동차_자기차량손해,35000000,갱신형,자기부담금 20만원
엄마_박지영,DB손해보험,실손의료비,3345,2018-06-15,2048-06-15,49000,실손_급여,50000000,갱신형,3세대 비급여 자기부담 30%
엄마_박지영,DB손해보험,실손의료비,3345,2018-06-15,2048-06-15,,실손_비급여,30000000,갱신형,
엄마_박지영,한화생명,암보험,6612,2021-04-20,2061-04-20,75000,암_일반암,40000000,갱신형,
엄마_박지영,한화생명,암보험,6612,2021-04-20,2061-04-20,,암_유사암,8000000,갱신형,
딸_김서연,삼성화재,어린이보험,8890,2022-03-02,2052-03-02,52000,실손_급여,50000000,갱신형,4세대 비급여 자기부담 30%
딸_김서연,삼성화재,어린이보험,8890,2022-03-02,2052-03-02,,실손_비급여,30000000,갱신형,
딸_김서연,삼성화재,어린이보험,8890,2022-03-02,2052-03-02,,암_일반암,30000000,갱신형,
딸_김서연,삼성화재,어린이보험,8890,2022-03-02,2052-03-02,,입원일당,30000,갱신형,1일당
아들_김도윤,삼성화재,어린이보험,8891,2022-03-02,2052-03-02,48000,실손_급여,50000000,갱신형,4세대 비급여 자기부담 30%
아들_김도윤,삼성화재,어린이보험,8891,2022-03-02,2052-03-02,,실손_비급여,30000000,갱신형,
아들_김도윤,삼성화재,어린이보험,8891,2022-03-02,2052-03-02,,암_일반암,30000000,갱신형,
