날짜,내용,금액
2025-10-01,PC방,8000
2025-10-05,편의점 CU,20600
2025-10-08,맘스터치,6900
2025-10-10,교보문고,11700
2025-10-10,맘스터치,11000
2025-10-18,편의점 CU,10300
2025-10-22,PC방,13200
2025-10-24,베스킨라빈스,9700
2025-10-25,다이소,9100
2025-10-28,편의점 CU,8000
2025-11-01,베스킨라빈스,10500
2025-11-02,맘스터치,9400
2025-11-15,편의점 CU,8400
2025-11-18,편의점 CU,7000
2025-11-19,다이소,6400
2025-11-20,베스킨라빈스,13000
2025-11-26,PC방,11100
2025-11-26,편의점 CU,18200
2025-11-27,교보문고,14600
2025-11-28,교보문고,9900
2025-12-01,베스킨라빈스,16000
2025-12-02,PC방,20700
2025-12-03,교보문고,17300
2025-12-07,PC방,16900
2025-12-08,편의점 CU,21100
2025-12-15,맘스터치,14700
2025-12-21,편의점 CU,8500
2025-12-22,편의점 CU,16900
2025-12-25,베스킨라빈스,17300
2025-12-27,교보문고,26100
2026-01-05,맘스터치,13100
2026-01-07,교보문고,22900
2026-01-07,맘스터치,10000
2026-01-08,교보문고,22400
2026-01-13,편의점 CU,12900
2026-01-13,편의점 CU,16700
2026-01-16,맘스터치,10400
2026-01-21,교보문고,17200
2026-01-24,다이소,18500
2026-01-26,맘스터치,13900
2026-02-07,맘스터치,9600
2026-02-11,다이소,12900
2026-02-11,편의점 CU,11100
2026-02-14,베스킨라빈스,10500
2026-02-16,베스킨라빈스,11600
2026-02-22,다이소,9300
2026-02-23,PC방,9900
2026-02-25,교보문고,9900
2026-02-28,맘스터치,11400
2026-02-28,편의점 CU,12300
2026-03-02,PC방,12000
2026-03-07,베스킨라빈스,9200
2026-03-12,교보문고,11700
2026-03-16,PC방,7700
2026-03-20,다이소,10600
2026-03-22,편의점 CU,14000
2026-03-22,편의점 CU,15700
2026-03-24,베스킨라빈스,7300
2026-03-24,편의점 CU,10300
2026-03-27,베스킨라빈스,10000
2026-04-03,편의점 CU,6500
2026-04-06,다이소,13800
2026-04-08,편의점 CU,16700
2026-04-11,교보문고,11500
2026-04-11,편의점 CU,8700
2026-04-12,편의점 CU,16700
2026-04-17,PC방,7700
2026-04-18,맘스터치,8200
2026-04-23,다이소,9000
2026-04-28,편의점 CU,9700
2026-05-09,맘스터치,6700
2026-05-10,교보문고,19800
2026-05-10,베스킨라빈스,15800
2026-05-11,편의점 CU,16200
2026-05-12,PC방,26400
2026-05-16,교보문고,12800
2026-05-16,맘스터치,8100
2026-05-20,편의점 CU,14500
2026-05-21,편의점 CU,19200
2026-05-24,PC방,10000
2026-06-02,맘스터치,10100
2026-06-06,베스킨라빈스,12600
2026-06-11,편의점 CU,10900
2026-06-12,맘스터치,17600
2026-06-12,편의점 CU,8300
2026-06-13,다이소,5400
2026-06-15,다이소,14200
2026-06-15,베스킨라빈스,7000
2026-06-22,교보문고,7800
2026-06-28,다이소,14600
2026-07-08,편의점 CU,10000
2026-07-10,교보문고,32000
2026-07-12,PC방,17200
2026-07-13,베스킨라빈스,14600
2026-07-15,편의점 CU,7000
2026-07-18,맘스터치,8300
2026-07-21,교보문고,17700
2026-07-24,교보문고,17100
2026-07-25,베스킨라빈스,19100
2026-07-28,베스킨라빈스,7500
2026-08-02,맘스터치,14400
2026-08-03,PC방,20500
2026-08-12,맘스터치,17800
2026-08-12,편의점 CU,9800
2026-08-14,편의점 CU,5800
2026-08-24,베스킨라빈스,18200
2026-08-25,교보문고,32100
2026-08-26,다이소,16800
2026-08-27,PC방,17600
2026-08-27,맘스터치,11000
2026-09-02,편의점 CU,15900
2026-09-05,편의점 CU,8400
2026-09-12,PC방,10600
2026-09-12,맘스터치,15900
2026-09-12,편의점 CU,10800
2026-09-13,편의점 CU,9500
2026-09-15,PC방,10300
2026-09-18,PC방,14700
2026-09-18,맘스터치,6000
2026-09-27,교보문고,6400
