거래일시,적요,출금액,입금액,잔액
2024/10/05,SKT 통신요금,"122,760원",,
2024/10/15,메리츠화재 암보험,"85,560원",,
2024/10/15,삼성생명 종신보험,"353,400원",,
2024/10/15,삼성화재 실손의료비,"53,940원",,
2024/10/20,현대해상 자동차보험,"102,300원",,
2024/10/22,라이나생명 치아보험,"35,340원",,
2024/10/25,급여 이체,,"7,905,000원",
2024/10/25,행복아파트 관리비,"336,300원",,
2024/10/26,딸 용돈,"200,000원",,
2024/10/26,아들 용돈,"150,000원",,
2024/10/27,신한카드 카드대금 결제,"4,004,079원",,
2024/11/05,SKT 통신요금,"122,760원",,
2024/11/15,메리츠화재 암보험,"85,560원",,
2024/11/15,삼성생명 종신보험,"353,400원",,
2024/11/15,삼성화재 실손의료비,"53,940원",,
2024/11/20,현대해상 자동차보험,"102,300원",,
2024/11/22,라이나생명 치아보험,"35,340원",,
2024/11/25,급여 이체,,"7,905,000원",
2024/11/25,행복아파트 관리비,"441,400원",,
2024/11/26,딸 용돈,"200,000원",,
2024/11/26,아들 용돈,"150,000원",,
2024/11/27,신한카드 카드대금 결제,"4,245,902원",,
2024/12/05,SKT 통신요금,"122,760원",,
2024/12/15,메리츠화재 암보험,"85,560원",,
2024/12/15,삼성생명 종신보험,"353,400원",,
2024/12/15,삼성화재 실손의료비,"53,940원",,
2024/12/20,현대해상 자동차보험,"102,300원",,
2024/12/22,라이나생명 치아보험,"35,340원",,
2024/12/25,급여 이체,,"7,905,000원",
2024/12/25,행복아파트 관리비,"588,500원",,
2024/12/26,딸 용돈,"200,000원",,
2024/12/26,아들 용돈,"150,000원",,
2024/12/27,신한카드 카드대금 결제,"3,812,817원",,
2025/01/05,SKT 통신요금,"128,040원",,
2025/01/15,메리츠화재 암보험,"89,240원",,
2025/01/15,삼성생명 종신보험,"368,600원",,
2025/01/15,삼성화재 실손의료비,"56,260원",,
2025/01/20,현대해상 자동차보험,"106,700원",,
2025/01/22,라이나생명 치아보험,"36,860원",,
2025/01/25,급여 이체,,"8,245,000원",
2025/01/25,행복아파트 관리비,"679,600원",,
2025/01/26,딸 용돈,"200,000원",,
2025/01/26,아들 용돈,"150,000원",,
2025/01/27,신한카드 카드대금 결제,"4,001,999원",,
2025/02/05,SKT 통신요금,"128,040원",,
2025/02/15,메리츠화재 암보험,"89,240원",,
2025/02/15,삼성생명 종신보험,"368,600원",,
2025/02/15,삼성화재 실손의료비,"56,260원",,
2025/02/20,현대해상 자동차보험,"106,700원",,
2025/02/22,라이나생명 치아보험,"36,860원",,
2025/02/25,급여 이체,,"8,245,000원",
2025/02/25,행복아파트 관리비,"635,700원",,
2025/02/26,딸 용돈,"200,000원",,
2025/02/26,아들 용돈,"150,000원",,
2025/02/27,신한카드 카드대금 결제,"3,666,607원",,
2025/03/05,SKT 통신요금,"128,040원",,
2025/03/15,메리츠화재 암보험,"89,240원",,
2025/03/15,삼성생명 종신보험,"368,600원",,
2025/03/15,삼성화재 실손의료비,"56,260원",,
2025/03/20,현대해상 자동차보험,"106,700원",,
2025/03/22,라이나생명 치아보험,"36,860원",,
2025/03/25,급여 이체,,"8,245,000원",
2025/03/25,행복아파트 관리비,"482,300원",,
2025/03/26,딸 용돈,"200,000원",,
2025/03/26,아들 용돈,"150,000원",,
2025/03/27,신한카드 카드대금 결제,"4,272,103원",,
2025/04/05,SKT 통신요금,"128,040원",,
2025/04/15,메리츠화재 암보험,"89,240원",,
2025/04/15,삼성생명 종신보험,"368,600원",,
2025/04/15,삼성화재 실손의료비,"56,260원",,
2025/04/20,현대해상 자동차보험,"106,700원",,
2025/04/22,라이나생명 치아보험,"36,860원",,
2025/04/25,급여 이체,,"8,245,000원",
2025/04/25,행복아파트 관리비,"350,800원",,
2025/04/26,딸 용돈,"200,000원",,
2025/04/26,아들 용돈,"150,000원",,
2025/04/27,신한카드 카드대금 결제,"3,485,111원",,
2025/05/05,SKT 통신요금,"128,040원",,
2025/05/15,메리츠화재 암보험,"89,240원",,
2025/05/15,삼성생명 종신보험,"368,600원",,
2025/05/15,삼성화재 실손의료비,"56,260원",,
2025/05/20,현대해상 자동차보험,"106,700원",,
2025/05/22,라이나생명 치아보험,"36,860원",,
2025/05/25,급여 이체,,"8,245,000원",
2025/05/25,행복아파트 관리비,"350,800원",,
2025/05/26,딸 용돈,"200,000원",,
2025/05/26,아들 용돈,"150,000원",,
2025/05/27,신한카드 카드대금 결제,"3,607,956원",,
2025/06/05,SKT 통신요금,"128,040원",,
2025/06/15,메리츠화재 암보험,"89,240원",,
2025/06/15,삼성생명 종신보험,"368,600원",,
2025/06/15,삼성화재 실손의료비,"56,260원",,
2025/06/20,현대해상 자동차보험,"106,700원",,
2025/06/22,라이나생명 치아보험,"36,860원",,
2025/06/25,급여 이체,,"8,245,000원",
2025/06/25,행복아파트 관리비,"350,800원",,
2025/06/26,딸 용돈,"200,000원",,
2025/06/26,아들 용돈,"150,000원",,
2025/06/27,신한카드 카드대금 결제,"3,015,123원",,
2025/07/05,SKT 통신요금,"128,040원",,
2025/07/15,메리츠화재 암보험,"89,240원",,
2025/07/15,삼성생명 종신보험,"368,600원",,
2025/07/15,삼성화재 실손의료비,"56,260원",,
2025/07/20,현대해상 자동차보험,"106,700원",,
2025/07/22,라이나생명 치아보험,"36,860원",,
2025/07/25,급여 이체,,"8,245,000원",
2025/07/25,행복아파트 관리비,"504,200원",,
2025/07/26,딸 용돈,"200,000원",,
2025/07/26,아들 용돈,"150,000원",,
2025/07/27,신한카드 카드대금 결제,"3,880,143원",,
2025/08/05,SKT 통신요금,"128,040원",,
2025/08/15,메리츠화재 암보험,"89,240원",,
2025/08/15,삼성생명 종신보험,"368,600원",,
2025/08/15,삼성화재 실손의료비,"56,260원",,
2025/08/20,현대해상 자동차보험,"106,700원",,
2025/08/22,라이나생명 치아보험,"36,860원",,
2025/08/25,급여 이체,,"8,245,000원",
2025/08/25,행복아파트 관리비,"570,000원",,
2025/08/26,딸 용돈,"200,000원",,
2025/08/26,아들 용돈,"150,000원",,
2025/08/27,신한카드 카드대금 결제,"4,418,596원",,
2025/09/05,SKT 통신요금,"128,040원",,
2025/09/15,메리츠화재 암보험,"89,240원",,
2025/09/15,삼성생명 종신보험,"368,600원",,
2025/09/15,삼성화재 실손의료비,"56,260원",,
2025/09/20,현대해상 자동차보험,"106,700원",,
2025/09/22,라이나생명 치아보험,"36,860원",,
2025/09/25,급여 이체,,"8,245,000원",
2025/09/25,행복아파트 관리비,"350,800원",,
2025/09/26,딸 용돈,"200,000원",,
2025/09/26,아들 용돈,"150,000원",,
2025/09/27,신한카드 카드대금 결제,"3,260,286원",,
2025/10/05,SKT 통신요금,"128,040원",,
2025/10/15,메리츠화재 암보험,"89,240원",,
2025/10/15,삼성생명 종신보험,"368,600원",,
2025/10/15,삼성화재 실손의료비,"56,260원",,
2025/10/20,현대해상 자동차보험,"106,700원",,
2025/10/22,라이나생명 치아보험,"36,860원",,
2025/10/25,급여 이체,,"8,245,000원",
2025/10/25,행복아파트 관리비,"350,800원",,
2025/10/26,딸 용돈,"200,000원",,
2025/10/26,아들 용돈,"150,000원",,
2025/10/27,신한카드 카드대금 결제,"3,558,584원",,
2025/11/05,SKT 통신요금,"128,040원",,
2025/11/15,메리츠화재 암보험,"89,240원",,
2025/11/15,삼성생명 종신보험,"368,600원",,
2025/11/15,삼성화재 실손의료비,"56,260원",,
2025/11/20,현대해상 자동차보험,"106,700원",,
2025/11/22,라이나생명 치아보험,"36,860원",,
2025/11/25,급여 이체,,"8,245,000원",
2025/11/25,행복아파트 관리비,"460,400원",,
2025/11/26,딸 용돈,"200,000원",,
2025/11/26,아들 용돈,"150,000원",,
2025/11/27,신한카드 카드대금 결제,"4,009,092원",,
2025/12/05,SKT 통신요금,"128,040원",,
2025/12/15,메리츠화재 암보험,"89,240원",,
2025/12/15,삼성생명 종신보험,"368,600원",,
2025/12/15,삼성화재 실손의료비,"56,260원",,
2025/12/20,현대해상 자동차보험,"106,700원",,
2025/12/22,라이나생명 치아보험,"36,860원",,
2025/12/25,급여 이체,,"8,245,000원",
2025/12/25,행복아파트 관리비,"613,800원",,
2025/12/26,딸 용돈,"200,000원",,
2025/12/26,아들 용돈,"150,000원",,
2025/12/27,신한카드 카드대금 결제,"3,636,678원",,
2026/01/05,SKT 통신요금,"132,000원",,
2026/01/15,메리츠화재 암보험,"92,000원",,
2026/01/15,삼성생명 종신보험,"380,000원",,
2026/01/15,삼성화재 실손의료비,"58,000원",,
2026/01/20,현대해상 자동차보험,"110,000원",,
2026/01/22,라이나생명 치아보험,"38,000원",,
2026/01/25,급여 이체,,"8,500,000원",
2026/01/25,행복아파트 관리비,"700,600원",,
2026/01/26,딸 용돈,"200,000원",,
2026/01/26,아들 용돈,"150,000원",,
2026/01/27,신한카드 카드대금 결제,"4,117,541원",,
2026/02/05,SKT 통신요금,"132,000원",,
2026/02/15,메리츠화재 암보험,"92,000원",,
2026/02/15,삼성생명 종신보험,"380,000원",,
2026/02/15,삼성화재 실손의료비,"58,000원",,
2026/02/20,현대해상 자동차보험,"110,000원",,
2026/02/22,라이나생명 치아보험,"38,000원",,
2026/02/25,급여 이체,,"8,500,000원",
2026/02/25,행복아파트 관리비,"655,400원",,
2026/02/26,딸 용돈,"200,000원",,
2026/02/26,아들 용돈,"150,000원",,
2026/02/27,신한카드 카드대금 결제,"3,187,087원",,
2026/03/05,SKT 통신요금,"132,000원",,
2026/03/15,메리츠화재 암보험,"92,000원",,
2026/03/15,삼성생명 종신보험,"380,000원",,
2026/03/15,삼성화재 실손의료비,"58,000원",,
2026/03/20,현대해상 자동차보험,"110,000원",,
2026/03/22,라이나생명 치아보험,"38,000원",,
2026/03/25,급여 이체,,"8,500,000원",
2026/03/25,행복아파트 관리비,"497,200원",,
2026/03/26,딸 용돈,"200,000원",,
2026/03/26,아들 용돈,"150,000원",,
2026/03/27,신한카드 카드대금 결제,"3,952,168원",,
2026/04/05,SKT 통신요금,"132,000원",,
2026/04/15,메리츠화재 암보험,"92,000원",,
2026/04/15,삼성생명 종신보험,"380,000원",,
2026/04/15,삼성화재 실손의료비,"58,000원",,
2026/04/20,현대해상 자동차보험,"110,000원",,
2026/04/22,라이나생명 치아보험,"38,000원",,
2026/04/25,급여 이체,,"8,500,000원",
2026/04/25,행복아파트 관리비,"361,600원",,
2026/04/26,딸 용돈,"200,000원",,
2026/04/26,아들 용돈,"150,000원",,
2026/04/27,신한카드 카드대금 결제,"3,519,067원",,
2026/05/05,SKT 통신요금,"132,000원",,
2026/05/15,메리츠화재 암보험,"92,000원",,
2026/05/15,삼성생명 종신보험,"380,000원",,
2026/05/15,삼성화재 실손의료비,"58,000원",,
2026/05/20,현대해상 자동차보험,"110,000원",,
2026/05/22,라이나생명 치아보험,"38,000원",,
2026/05/25,급여 이체,,"8,500,000원",
2026/05/25,행복아파트 관리비,"361,600원",,
2026/05/26,딸 용돈,"200,000원",,
2026/05/26,아들 용돈,"150,000원",,
2026/05/27,신한카드 카드대금 결제,"3,399,865원",,
2026/06/05,SKT 통신요금,"132,000원",,
2026/06/15,메리츠화재 암보험,"92,000원",,
2026/06/15,삼성생명 종신보험,"380,000원",,
2026/06/15,삼성화재 실손의료비,"58,000원",,
2026/06/20,현대해상 자동차보험,"110,000원",,
2026/06/22,라이나생명 치아보험,"38,000원",,
2026/06/25,급여 이체,,"8,500,000원",
2026/06/25,행복아파트 관리비,"361,600원",,
2026/06/26,딸 용돈,"200,000원",,
2026/06/26,아들 용돈,"150,000원",,
2026/06/27,신한카드 카드대금 결제,"4,238,459원",,
2026/07/05,SKT 통신요금,"132,000원",,
2026/07/15,메리츠화재 암보험,"92,000원",,
2026/07/15,삼성생명 종신보험,"380,000원",,
2026/07/15,삼성화재 실손의료비,"58,000원",,
2026/07/20,현대해상 자동차보험,"110,000원",,
2026/07/22,라이나생명 치아보험,"38,000원",,
2026/07/25,급여 이체,,"8,500,000원",
2026/07/25,행복아파트 관리비,"519,800원",,
2026/07/26,딸 용돈,"200,000원",,
2026/07/26,아들 용돈,"150,000원",,
2026/07/27,신한카드 카드대금 결제,"3,869,328원",,
2026/08/05,SKT 통신요금,"132,000원",,
2026/08/15,메리츠화재 암보험,"92,000원",,
2026/08/15,삼성생명 종신보험,"380,000원",,
2026/08/15,삼성화재 실손의료비,"58,000원",,
2026/08/20,현대해상 자동차보험,"110,000원",,
2026/08/22,라이나생명 치아보험,"38,000원",,
2026/08/25,급여 이체,,"8,500,000원",
2026/08/25,행복아파트 관리비,"587,600원",,
2026/08/26,딸 용돈,"200,000원",,
2026/08/26,아들 용돈,"150,000원",,
2026/08/27,신한카드 카드대금 결제,"3,320,072원",,
2026/09/05,SKT 통신요금,"132,000원",,
2026/09/15,메리츠화재 암보험,"92,000원",,
2026/09/15,삼성생명 종신보험,"380,000원",,
2026/09/15,삼성화재 실손의료비,"58,000원",,
2026/09/20,현대해상 자동차보험,"110,000원",,
2026/09/22,라이나생명 치아보험,"38,000원",,
2026/09/25,급여 이체,,"8,500,000원",
2026/09/25,행복아파트 관리비,"361,600원",,
2026/09/26,딸 용돈,"200,000원",,
2026/09/26,아들 용돈,"150,000원",,
2026/09/27,신한카드 카드대금 결제,"4,078,028원",,
