사람,분류,세부항목,기관,평가금액,원금,기준일,만기일,이율,비고
공동,부동산,자가 아파트 (전용 84㎡),,1800000000,1250000000,2026-09-01,,,2018년 매입 · 실거주
아빠_김성호,부동산,상가 지분,,200000000,180000000,2026-09-01,,,월세 수입 60만원
아빠_김성호,금융자산,국내주식,미래에셋증권,180000000,161380000,2026-09-20,,,
아빠_김성호,금융자산,해외주식 ETF,미래에셋증권,150000000,104150000,2026-09-20,,,환율 영향 있음
아빠_김성호,금융자산,연금저축펀드,삼성증권,95000000,72000000,2026-09-20,,,세액공제 상품 · 55세 이후 인출
아빠_김성호,금융자산,IRP,신한은행,78000000,66000000,2026-09-20,,,세액공제 상품 · 중도인출 제한
엄마_박지영,금융자산,국내주식,키움증권,62000000,66400000,2026-09-20,,,
엄마_박지영,금융자산,채권형 펀드,KB증권,55000000,52000000,2026-09-20,,,
엄마_박지영,금융자산,연금저축펀드,미래에셋증권,87000000,68000000,2026-09-20,,,세액공제 상품 · 55세 이후 인출
공동,금융자산,정기예금,국민은행,93000000,90000000,2026-09-20,2027-03-15,3.4,예금자보호 대상
공동,현금,수시입출금 (생활비),국민은행,62000000,62000000,2026-09-20,,0.1,
아빠_김성호,현금,CMA,미래에셋증권,88000000,88000000,2026-09-20,,3.1,수시 입출금 가능
엄마_박지영,현금,파킹통장,카카오뱅크,50000000,50000000,2026-09-20,,2.9,예금자보호 대상
