사람,보험사,상품명,증권번호(뒤4자리),계약일,만기일,월보험료,보장항목,보장금액,갱신형,비고
아빠_김정우,삼성생명,무배당 종신보험,4821,2018-04-10,종신,142000,사망_일반,100000000,비갱신,
아빠_김정우,삼성생명,무배당 종신보험,4821,2018-04-10,종신,,암_일반암,30000000,비갱신,
아빠_김정우,삼성생명,무배당 종신보험,4821,2018-04-10,종신,,수술비,1000000,비갱신,수술 1회당
아빠_김정우,한화생명,암보험,7103,2021-09-01,2051-09-01,25000,암_일반암,20000000,갱신형,10년 갱신
아빠_김정우,한화생명,암보험,7103,2021-09-01,2051-09-01,,암_유사암,4000000,갱신형,
엄마_이수진,현대해상,자동차보험,2290,2026-01-10,2027-01-09,85000,자동차_대인배상,무한,갱신형,1년 갱신
엄마_이수진,현대해상,자동차보험,2290,2026-01-10,2027-01-09,,자동차_대물배상,100000000,갱신형,
엄마_이수진,현대해상,자동차보험,2290,2026-01-10,2027-01-09,,자동차_자기신체사고,30000000,갱신형,
엄마_이수진,삼성화재,실손의료비,5567,2019-06-15,2044-06-15,32000,실손_급여,50000000,갱신형,연간 한도
엄마_이수진,삼성화재,실손의료비,5567,2019-06-15,2044-06-15,,실손_비급여,30000000,갱신형,연간 한도
